bundle,model,target,dataset_id,in_channels,window_len,num_classes,params_full,params_thop,flops_g,flops_source
convnext1d_d1,convnext1d,D1,1,1,512,5,1308613,1307909,0.0996,thop
convnext1d_d2,convnext1d,D2,2,4,8192,5,1309381,1308677,1.5959,thop
convnext1d_d4,convnext1d,D4,4,1,2048,8,1309384,1308680,0.3982,thop
convnext1d_d5,convnext1d,D5,5,3,256,15,1311695,1310991,0.0498,thop
convnext1d_d8,convnext1d,D8,8,4,8192,3,1308867,1308163,1.5959,thop
inception_time_d1,inception_time,D1,1,1,512,5,1286501,1286501,1.3215,thop
inception_time_d2,inception_time,D2,2,4,8192,5,1287077,1287077,21.1534,thop
inception_time_d4,inception_time,D4,4,1,2048,8,1286792,1286792,5.286,thop
inception_time_d5,inception_time,D5,5,3,256,15,1287855,1287855,0.661,thop
inception_time_d8,inception_time,D8,8,4,8192,3,1286883,1286883,21.1534,thop
informer_d1,informer,D1,1,1,512,5,113157,113157,0.0896,thop
informer_d2,informer,D2,2,4,8192,5,113733,113733,1.4428,thop
informer_d4,informer,D4,4,1,2048,8,113352,113352,0.3584,thop
informer_d5,informer,D5,5,3,256,15,114191,114191,0.045,thop
informer_d8,informer,D8,8,4,8192,3,113603,113603,1.4428,thop
lstnet_d1,lstnet,D1,1,1,512,5,113093,113093,0.1021,thop
lstnet_d2,lstnet,D2,2,4,8192,5,126533,126533,1.6751,thop
lstnet_d4,lstnet,D4,4,1,2048,8,116936,116936,0.4129,thop
lstnet_d5,lstnet,D5,5,3,256,15,134863,134863,0.0507,thop
lstnet_d8,lstnet,D8,8,4,8192,3,123971,123971,1.6751,thop
mixnet_d1,mixnet,D1,1,1,512,5,491391,491391,0.1371,thop
mixnet_d2,mixnet,D2,2,4,8192,5,493119,493119,2.2014,thop
mixnet_d4,mixnet,D4,4,1,2048,8,491778,491778,0.5472,thop
mixnet_d5,mixnet,D5,5,3,256,15,493833,493833,0.0691,thop
mixnet_d8,mixnet,D8,8,4,8192,3,492861,492861,2.2014,thop
mspf_net_d1_softmax,mspf_net,D1,1,1,512,5,740368,707536,0.4054,thop
mspf_net_d2_softmax,mspf_net,D2,2,4,8192,5,1649808,1649808,24.9831,thop
mspf_net_d4_softmax,mspf_net,D4,4,1,2048,8,985435,952603,1.2626,thop
mspf_net_d5_softmax,mspf_net,D5,5,3,256,15,989065,989065,1.1685,thop
mspf_net_d8_softmax,mspf_net,D8,8,4,8192,3,739398,739398,9.8829,thop
resnet1d_d1,resnet1d,D1,1,1,512,5,1842181,1842181,1.8901,thop
resnet1d_d2,resnet1d,D2,2,4,8192,5,1847941,1847941,30.3353,thop
resnet1d_d4,resnet1d,D4,4,1,2048,8,1842568,1842568,7.5602,thop
resnet1d_d5,resnet1d,D5,5,3,256,15,1847311,1847311,0.947,thop
resnet1d_d8,resnet1d,D8,8,4,8192,3,1847683,1847683,30.3353,thop
se_cnn1d_d1,se_cnn1d,D1,1,1,512,5,538853,538853,0.534,thop
se_cnn1d_d2,se_cnn1d,D2,2,4,8192,5,543173,543173,8.6146,thop
se_cnn1d_d4,se_cnn1d,D4,4,1,2048,8,539144,539144,2.136,thop
se_cnn1d_d5,se_cnn1d,D5,5,3,256,15,542703,542703,0.2685,thop
se_cnn1d_d8,se_cnn1d,D8,8,4,8192,3,542979,542979,8.6146,thop
timesnet_d1,timesnet,D1,1,1,512,5,1886149,1722304,8.8261,thop
timesnet_d2,timesnet,D2,2,4,8192,5,4343941,1722496,149.7832,thop
timesnet_d4,timesnet,D4,4,1,2048,8,2770888,1722304,37.2288,thop
timesnet_d5,timesnet,D5,5,3,256,15,1968207,1722432,4.4802,thop
timesnet_d8,timesnet,D8,8,4,8192,3,3295363,1722496,140.9936,thop
transformer1d_d1,transformer1d,D1,1,1,512,5,3165189,5893,0.1392,pi_benchmark_csv
transformer1d_d2,transformer1d,D2,2,4,8192,5,3177477,18181,2.1769,pi_benchmark_csv
transformer1d_d4,transformer1d,D4,4,1,2048,8,3165960,6664,0.5442,pi_benchmark_csv
transformer1d_d5,transformer1d,D5,5,3,256,15,3175951,16655,0.072,pi_benchmark_csv
transformer1d_d8,transformer1d,D8,8,4,8192,3,3176963,17667,2.1769,pi_benchmark_csv
wdcnn_d1,wdcnn,D1,1,1,512,5,267205,267205,0.0069,thop
wdcnn_d2,wdcnn,D2,2,4,8192,5,273349,273349,0.1149,thop
wdcnn_d4,wdcnn,D4,4,1,2048,8,267976,267976,0.026,thop
wdcnn_d5,wdcnn,D5,5,3,256,15,273871,273871,0.004,thop
wdcnn_d8,wdcnn,D8,8,4,8192,3,272835,272835,0.1149,thop
