model,target,dataset_id,variant,bundle,device,mean_ms,std_ms,min_ms,max_ms,flops_g,params,peak_rss_mb,latency_target_ok
convnext1d,D1,1,recommended_fine,convnext1d_d1,cpu,20.096,0.831,18.748,21.766,0.0996,1308613,325.047,True
convnext1d,D2,2,recommended_fine,convnext1d_d2,cpu,27.31,1.226,25.739,31.177,1.5959,1309381,355.781,True
convnext1d,D4,4,recommended_fine,convnext1d_d4,cpu,22.506,1.351,20.364,25.952,0.3982,1309384,360.453,True
convnext1d,D5,5,recommended_fine,convnext1d_d5,cpu,18.943,0.715,17.653,20.576,0.0498,1311695,360.625,True
convnext1d,D8,8,recommended_fine,convnext1d_d8,cpu,27.678,1.959,24.566,31.212,1.5959,1308867,368.484,True
mspf_net,D1,1,softmax,d1_softmax,cpu,7.366,0.486,6.791,8.638,0.4054,740368,376.562,True
inception_time,D1,1,recommended_fine,inception_time_d1,cpu,9.601,0.81,8.684,12.288,1.3215,1286501,380.266,True
inception_time,D2,2,recommended_fine,inception_time_d2,cpu,98.293,14.877,87.505,159.649,21.1534,1287077,524.859,False
inception_time,D4,4,recommended_fine,inception_time_d4,cpu,32.174,0.98,30.564,34.099,5.286,1286792,524.984,True
inception_time,D5,5,recommended_fine,inception_time_d5,cpu,6.326,0.635,5.117,7.438,0.661,1287855,525.234,True
inception_time,D8,8,recommended_fine,inception_time_d8,cpu,92.346,5.339,86.341,109.193,21.1534,1286883,552.234,False
informer,D1,1,recommended_fine,informer_d1,cpu,2.549,0.393,1.932,3.269,0.0896,113157,552.781,True
informer,D2,2,recommended_fine,informer_d2,cpu,24.92,1.413,22.937,27.928,1.4428,113733,586.922,True
informer,D4,4,recommended_fine,informer_d4,cpu,7.69,0.991,6.385,10.565,0.3584,113352,494.219,True
informer,D5,5,recommended_fine,informer_d5,cpu,2.038,0.396,1.364,2.841,0.045,114191,495.547,True
informer,D8,8,recommended_fine,informer_d8,cpu,29.574,1.742,26.593,32.959,1.4428,113603,520.375,True
lstnet,D1,1,recommended_fine,lstnet_d1,cpu,8.791,0.564,7.977,9.93,0.1021,113093,523.281,True
lstnet,D2,2,recommended_fine,lstnet_d2,cpu,135.701,17.63,122.546,207.629,1.6751,126533,546.656,False
lstnet,D4,4,recommended_fine,lstnet_d4,cpu,34.417,0.789,33.272,36.262,0.4129,116936,546.656,True
lstnet,D5,5,recommended_fine,lstnet_d5,cpu,5.009,0.466,4.264,6.057,0.0507,134863,546.656,True
lstnet,D8,8,recommended_fine,lstnet_d8,cpu,123.095,5.433,111.874,138.013,1.6751,123971,547.766,False
mixnet,D1,1,recommended_fine,mixnet_d1,cpu,38.854,2.308,35.585,43.626,0.1371,491391,547.922,True
mixnet,D2,2,recommended_fine,mixnet_d2,cpu,73.307,3.715,63.35,79.932,2.2014,493119,559.703,False
mixnet,D4,4,recommended_fine,mixnet_d4,cpu,44.036,3.116,38.413,50.992,0.5472,491778,559.703,True
mixnet,D5,5,recommended_fine,mixnet_d5,cpu,34.233,1.08,32.73,36.75,0.0691,493833,559.828,True
mixnet,D8,8,recommended_fine,mixnet_d8,cpu,73.309,3.265,67.586,79.723,2.2014,492861,560.188,False
mspf_net,D1,1,softmax,mspf_net_d1_softmax,cpu,8.96,1.005,6.908,10.819,0.4054,740368,560.188,True
mspf_net,D2,2,softmax,mspf_net_d2_softmax,cpu,372.892,18.777,358.234,420.693,24.9831,1649808,818.188,False
mspf_net,D4,4,softmax,mspf_net_d4_softmax,cpu,26.094,2.105,22.901,29.674,1.2626,985435,819.031,True
mspf_net,D5,5,softmax,mspf_net_d5_softmax,cpu,17.479,1.088,15.201,19.546,1.1685,989065,819.062,True
mspf_net,D8,8,softmax,mspf_net_d8_softmax,cpu,157.637,3.223,151.994,164.679,9.8829,739398,825.094,False
resnet1d,D1,1,recommended_fine,resnet1d_d1,cpu,15.425,2.196,11.003,20.813,1.8901,1842181,817.125,True
resnet1d,D2,2,recommended_fine,resnet1d_d2,cpu,107.037,3.161,99.629,114.917,30.3353,1847941,817.375,False
resnet1d,D4,4,recommended_fine,resnet1d_d4,cpu,33.266,4.051,26.027,40.368,7.5602,1842568,817.391,True
resnet1d,D5,5,recommended_fine,resnet1d_d5,cpu,6.413,1.181,3.493,7.857,0.947,1847311,817.391,True
resnet1d,D8,8,recommended_fine,resnet1d_d8,cpu,108.171,2.996,102.933,113.412,30.3353,1847683,817.391,False
se_cnn1d,D1,1,recommended_fine,se_cnn1d_d1,cpu,6.152,1.032,4.261,8.148,0.534,538853,817.391,True
se_cnn1d,D2,2,recommended_fine,se_cnn1d_d2,cpu,44.003,1.962,41.18,48.78,8.6146,543173,838.391,True
se_cnn1d,D4,4,recommended_fine,se_cnn1d_d4,cpu,15.0,1.647,12.404,17.552,2.136,539144,838.453,True
se_cnn1d,D5,5,recommended_fine,se_cnn1d_d5,cpu,3.963,0.984,1.974,5.599,0.2685,542703,838.719,True
se_cnn1d,D8,8,recommended_fine,se_cnn1d_d8,cpu,42.348,3.792,35.248,48.285,8.6146,542979,839.0,True
timesnet,D1,1,recommended_fine,timesnet_d1,cpu,109.97,4.643,100.008,117.863,8.9365,1886149,854.719,False
timesnet,D2,2,recommended_fine,timesnet_d2,cpu,804.983,39.569,734.97,922.364,142.8189,4343941,1167.75,False
timesnet,D4,4,recommended_fine,timesnet_d4,cpu,263.961,11.636,247.683,290.609,35.7836,2770888,1167.5,False
timesnet,D5,5,recommended_fine,timesnet_d5,cpu,62.913,3.694,57.248,70.454,4.5426,1968207,1160.312,True
timesnet,D8,8,recommended_fine,timesnet_d8,cpu,1092.135,38.917,1025.652,1160.66,140.9818,3295363,1028.938,False
transformer1d,D1,1,recommended_fine,transformer1d_d1,cpu,5.707,0.875,4.079,7.201,0.1392,3165189,1029.531,True
transformer1d,D2,2,recommended_fine,transformer1d_d2,cpu,30.532,1.414,27.085,33.454,2.1769,3177477,1030.766,True
transformer1d,D4,4,recommended_fine,transformer1d_d4,cpu,10.247,1.122,8.448,12.94,0.5442,3165960,1012.172,True
transformer1d,D5,5,recommended_fine,transformer1d_d5,cpu,5.275,0.746,4.244,6.878,0.072,3175951,892.328,True
transformer1d,D8,8,recommended_fine,transformer1d_d8,cpu,28.044,1.289,24.785,30.424,2.1769,3176963,796.25,True
wdcnn,D1,1,recommended_fine,wdcnn_d1,cpu,0.728,0.31,0.479,1.623,0.0069,267205,607.484,True
wdcnn,D2,2,recommended_fine,wdcnn_d2,cpu,2.146,0.725,1.249,3.858,0.1149,273349,579.172,True
wdcnn,D4,4,recommended_fine,wdcnn_d4,cpu,1.005,0.416,0.611,2.015,0.026,267976,579.188,True
wdcnn,D5,5,recommended_fine,wdcnn_d5,cpu,0.59,0.166,0.408,1.116,0.004,273871,579.203,True
wdcnn,D8,8,recommended_fine,wdcnn_d8,cpu,1.786,0.511,1.041,2.775,0.1149,272835,579.203,True
mspf_net,D1,1,softmax,d1_softmax,cpu,45.353,0.712,44.829,51.082,0.4054,740368,378.531,True
mspf_net,D2,2,softmax,d2_softmax,cpu,1855.983,6.105,1839.871,1882.889,24.9831,1649808,472.797,False
mspf_net,D4,4,softmax,d4_softmax,cpu,182.632,1.601,180.387,188.727,1.2626,985435,476.656,False
mspf_net,D5,5,softmax,d5_softmax,cpu,46.626,0.713,45.89,50.737,1.1685,989065,468.406,True
mspf_net,D8,8,softmax,d8_softmax,cpu,847.848,2.433,843.4,853.746,9.8829,739398,498.922,False
