fault,1200rpm,1800rpm,200-2400-200,2400rpm
BRG_BF,0.1682505400109949,0.2761081092567786,0.2264405570014053,0.3919799849933751
BRG_CF,0.1013549394490343,0.1667957305484526,0.1606799707132768,0.243862829028451
BRG_IO,0.1240939294548218,0.2173453131904276,0.2032054137509615,0.3071465217676486
BRG_IR,0.0906267235462188,0.2050192415280099,0.223465765921683,0.4352555527110393
BRG_OR,0.0898116254658703,0.1525936197754733,0.1347359892169444,0.2148374762507557
GBX_BT,0.1085877786936782,0.1982211134879392,0.2272480341949372,0.3940514013048571
GBX_EG,0.089775465770368,0.1557146496804819,0.1568891593452616,0.2317546837317093
GBX_WR,0.0983238160614844,0.1713140491337828,0.1651537662755996,0.3070679486992704
MIX_IB,0.1477605732134384,0.1959232778423973,0.1988199200785429,0.2974426096894267
MIX_II,0.0928396234768375,0.1483670232904528,0.1502353608050754,0.240639649300074
MIX_IS,0.0687779711812392,0.0878918877502018,0.0795980179289495,0.1436126200499286
MIX_OB,0.121011732850263,0.2001741177775024,0.2049937210508419,0.3172975362466463
MIX_OI,0.102741476351066,0.1767924242527715,0.1715384399490175,0.2670955612333868
MIX_OS,0.0829939823418593,0.1219437927132519,0.1144089567813165,0.1549279677865716
NOR,0.10978032179399941,0.163352309052252,0.1343681018240682,0.33943292435054895
